mpg,horsepower,weight,origin,displacement
13.0,150.0,3940.0,1,318.0
19.0,88.00,3270.0,2,120.0
19.0,108.0,2930.0,3,156.0
16.5,120.0,3820.0,2,168.0
16.5,180.0,4380.0,1,350.0
13.0,145.0,4055.0,1,350.0
13.0,130.0,3870.0,1,302.0
13.0,150.0,3755.0,1,318.0
31.5,68.00,2045.0,3,98.0
30.0,80.00,2155.0,1,111.0
36.0,58.00,1825.0,2,79.0
25.5,96.00,2300.0,1,122.0
33.5,70.00,1945.0,3,85.0
17.5,145.0,3880.0,1,305.0
17.0,110.0,4060.0,1,260.0
15.5,145.0,4140.0,1,318.0
15.0,130.0,4295.0,1,302.0
17.5,110.0,3520.0,1,250.0
20.5,105.0,3425.0,1,231.0
19.0,100.0,3630.0,1,225.0
18.5,98.00,3525.0,1,250.0
16.0,180.0,4220.0,1,400.0
15.5,170.0,4165.0,1,350.0
15.5,190.0,4325.0,1,400.0
16.0,149.0,4335.0,1,351.0
29.0,78.00,1940.0,2,97.0
24.5,88.00,2740.0,1,151.0
26.0,75.00,2265.0,3,97.0
25.5,89.00,2755.0,1,140.0
30.5,63.00,2051.0,1,98.0
33.5,83.00,2075.0,1,98.0
30.0,67.00,1985.0,3,97.0
30.5,78.00,2190.0,2,97.0
22.0,97.00,2815.0,3,146.0
21.5,110.0,2600.0,2,121.0
21.5,110.0,2720.0,3,80.0
43.1,48.00,1985.0,2,90.0
36.1,66.00,1800.0,1,98.0
32.8,52.00,1985.0,3,78.0
39.4,70.00,2070.0,3,85.0
36.1,60.00,1800.0,3,91.0
19.9,110.0,3365.0,1,260.0
19.4,140.0,3735.0,1,318.0
20.2,139.0,3570.0,1,302.0
19.2,105.0,3535.0,1,231.0
20.5,95.00,3155.0,1,200.0
20.2,85.00,2965.0,1,200.0
25.1,88.00,2720.0,1,140.0
20.5,100.0,3430.0,1,225.0
19.4,90.00,3210.0,1,232.0
20.6,105.0,3380.0,1,231.0
20.8,85.00,3070.0,1,200.0
18.6,110.0,3620.0,1,225.0
18.1,120.0,3410.0,1,258.0
19.2,145.0,3425.0,1,305.0
17.7,165.0,3445.0,1,231.0
18.1,139.0,3205.0,1,302.0
17.5,140.0,4080.0,1,318.0
30.0,68.00,2155.0,1,98.0
27.5,95.00,2560.0,3,134.0
27.2,97.00,2300.0,3,119.0
30.9,75.00,2230.0,1,105.0
21.1,95.00,2515.0,3,134.0
23.2,105.0,2745.0,1,156.0
23.8,85.00,2855.0,1,151.0
23.9,97.00,2405.0,3,119.0
20.3,103.0,2830.0,2,131.0
17.0,125.0,3140.0,2,163.0
21.6,115.0,2795.0,2,121.0
16.2,133.0,3410.0,2,163.0
31.5,71.00,1990.0,2,89.0
29.5,68.00,2135.0,3,98.0
21.5,115.0,3245.0,1,231.0
19.8,85.00,2990.0,1,200.0
22.3,88.00,2890.0,1,140.0
20.2,90.00,3265.0,1,232.0
20.6,110.0,3360.0,1,225.0
17.0,130.0,3840.0,1,305.0
17.6,129.0,3725.0,1,302.0
16.5,138.0,3955.0,1,351.0
18.2,135.0,3830.0,1,318.0
16.9,155.0,4360.0,1,350.0
15.5,142.0,4054.0,1,351.0
19.2,125.0,3605.0,1,267.0
18.5,150.0,3940.0,1,360.0
31.9,71.00,1925.0,2,89.0
34.1,65.00,1975.0,3,86.0
35.7,80.00,1915.0,1,98.0
27.4,80.00,2670.0,1,121.0
25.4,77.00,3530.0,2,183.0
23.0,125.0,3900.0,1,350.0
27.2,71.00,3190.0,2,141.0
23.9,90.00,3420.0,1,260.0
34.2,70.00,2200.0,1,105.0
34.5,70.00,2150.0,1,105.0
31.8,65.00,2020.0,3,85.0
37.3,69.00,2130.0,2,91.0
28.4,90.00,2670.0,1,151.0
28.8,115.0,2595.0,1,173.0
26.8,115.0,2700.0,1,173.0
33.5,90.00,2556.0,1,151.0
41.5,76.00,2144.0,2,98.0
38.1,60.00,1968.0,3,89.0
32.1,70.00,2120.0,1,98.0
37.2,65.00,2019.0,3,86.0
28.0,90.00,2678.0,1,151.0
26.4,88.00,2870.0,1,140.0
24.3,90.00,3003.0,1,151.0
19.1,90.00,3381.0,1,225.0
34.3,78.00,2188.0,2,97.0
29.8,90.00,2711.0,3,134.0
31.3,75.00,2542.0,3,120.0
37.0,92.00,2434.0,3,119.0
32.2,75.00,2265.0,3,108.0
46.6,65.00,2110.0,3,86.0
27.9,105.0,2800.0,1,156.0
40.8,65.00,2110.0,3,85.0
44.3,48.00,2085.0,2,90.0
43.4,48.00,2335.0,2,90.0
36.4,67.00,2950.0,2,121.0
30.0,67.00,3250.0,2,146.0
44.6,67.00,1850.0,3,91.0
40.9,?,1835.0,2,85.0
33.8,67.00,2145.0,3,97.0
29.8,62.00,1845.0,2,89.0
32.7,132.0,2910.0,3,168.0
23.7,100.0,2420.0,3,70.0
35.0,88.00,2500.0,2,122.0
23.6,?,2905.0,1,140.0
32.4,72.00,2290.0,3,107.0
27.2,84.00,2490.0,1,135.0
26.6,84.00,2635.0,1,151.0
25.8,92.00,2620.0,1,156.0
23.5,110.0,2725.0,1,173.0
30.0,84.00,2385.0,1,135.0
39.1,58.00,1755.0,3,79.0
39.0,64.00,1875.0,1,86.0
35.1,60.00,1760.0,3,81.0
32.3,67.00,2065.0,3,97.0
37.0,65.00,1975.0,3,85.0
37.7,62.00,2050.0,3,89.0
34.1,68.00,1985.0,3,91.0
34.7,63.00,2215.0,1,105.0
34.4,65.00,2045.0,1,98.0
29.9,65.00,2380.0,1,98.0
33.0,74.00,2190.0,2,105.0
34.5,?,2320.0,2,100.0
33.7,75.00,2210.0,3,107.0
32.4,75.00,2350.0,3,108.0
32.9,100.0,2615.0,3,119.0
31.6,74.00,2635.0,3,120.0
28.1,80.00,3230.0,2,141.0
30.7,76.00,3160.0,2,145.0
25.4,116.0,2900.0,3,168.0
24.2,120.0,2930.0,3,146.0
22.4,110.0,3415.0,1,231.0
26.6,105.0,3725.0,1,350.0
20.2,88.00,3060.0,1,200.0
17.6,85.00,3465.0,1,225.0
28.0,88.00,2605.0,1,112.0
27.0,88.00,2640.0,1,112.0
34.0,88.00,2395.0,1,112.0
31.0,85.00,2575.0,1,112.0
29.0,84.00,2525.0,1,135.0
27.0,90.00,2735.0,1,151.0
24.0,92.00,2865.0,1,140.0
23.0,?,3035.0,1,151.0
36.0,74.00,1980.0,2,105.0
37.0,68.00,2025.0,3,91.0
31.0,68.00,1970.0,3,91.0
38.0,63.00,2125.0,1,105.0
36.0,70.00,2125.0,1,98.0
36.0,88.00,2160.0,3,120.0
36.0,75.00,2205.0,3,107.0
34.0,70.00,2245.0,3,108.0
38.0,67.00,1965.0,3,91.0
32.0,67.00,1965.0,3,91.0
38.0,67.00,1995.0,3,91.0
25.0,110.0,2945.0,1,181.0
38.0,85.00,3015.0,1,262.0
26.0,92.00,2585.0,1,156.0
22.0,112.0,2835.0,1,232.0
32.0,96.00,2665.0,3,144.0
36.0,84.00,2370.0,1,135.0
27.0,90.00,2950.0,1,151.0
27.0,86.00,2790.0,1,140.0
44.0,52.00,2130.0,2,97.0
32.0,84.00,2295.0,1,135.0
28.0,79.00,2625.0,1,120.0
31.0,82.00,2720.0,1,119.0
